Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
age(Gyr)=12.000 140 points
 0.8342755  3.7654  0.5697  3.8031  3.489 -0.207  0.489  0.331  0.682  1.132  1.481  1.543  1.604  2.014  1.3179E+00  8.7912E-01  5.8301E-01
 0.8348962  3.7618  0.5798  3.7790  3.468 -0.204  0.500  0.338  0.696  1.148  1.503  1.566  1.630  2.047  1.2058E+00  8.0291E-01  5.3181E-01
 0.8354813  3.7582  0.5900  3.7547  3.447 -0.198  0.512  0.346  0.710  1.167  1.528  1.593  1.659  2.085  1.1512E+00  7.6529E-01  5.0630E-01
 0.8360474  3.7546  0.6008  3.7298  3.425 -0.189  0.525  0.353  0.725  1.189  1.557  1.625  1.693  2.129  1.0942E+00  7.2625E-01  4.7994E-01
 0.8365755  3.7510  0.6125  3.7039  3.402 -0.177  0.539  0.361  0.740  1.212  1.588  1.659  1.730  2.178  1.0448E+00  6.9242E-01  4.5710E-01
 0.8370922  3.7475  0.6261  3.6766  3.373 -0.161  0.554  0.369  0.754  1.235  1.619  1.695  1.768  2.227  1.0288E+00  6.8082E-01  4.4899E-01
 0.8376043  3.7442  0.6423  3.6475  3.338 -0.145  0.568  0.375  0.766  1.258  1.649  1.728  1.803  2.273  1.0369E+00  6.8519E-01  4.5141E-01
 0.8381291  3.7410  0.6628  3.6144  3.292 -0.130  0.581  0.382  0.777  1.279  1.678  1.759  1.837  2.316  1.0480E+00  6.9151E-01  4.5511E-01
 0.8386523  3.7382  0.6872  3.5791  3.235 -0.117  0.594  0.386  0.786  1.296  1.702  1.785  1.864  2.351  1.0426E+00  6.8694E-01  4.5163E-01
 0.8391717  3.7357  0.7152  3.5414  3.169 -0.105  0.605  0.390  0.792  1.312  1.723  1.808  1.889  2.382  1.0257E+00  6.7483E-01  4.4322E-01
 0.8396780  3.7336  0.7461  3.5023  3.094 -0.094  0.616  0.393  0.797  1.325  1.741  1.827  1.910  2.408  9.9570E-01  6.5416E-01  4.2922E-01
 0.8401674  3.7318  0.7791  3.4624  3.014 -0.085  0.624  0.395  0.802  1.336  1.756  1.843  1.927  2.430  9.5140E-01  6.2421E-01  4.0917E-01
 0.8406294  3.7303  0.8131  3.4226  2.931 -0.077  0.632  0.397  0.805  1.346  1.768  1.857  1.942  2.448  9.0090E-01  5.9031E-01  3.8660E-01
 0.8410683  3.7290  0.8481  3.3827  2.846 -0.069  0.638  0.399  0.808  1.354  1.779  1.868  1.954  2.464  8.5220E-01  5.5772E-01  3.6494E-01
 0.8414816  3.7277  0.8834  3.3424  2.759 -0.062  0.644  0.401  0.811  1.362  1.790  1.880  1.966  2.479  8.0410E-01  5.2563E-01  3.4367E-01
 0.8418724  3.7266  0.9191  3.3025  2.672 -0.055  0.649  0.403  0.814  1.369  1.799  1.890  1.977  2.492  7.5770E-01  4.9476E-01  3.2323E-01
 0.8422393  3.7255  0.9549  3.2625  2.584 -0.049  0.654  0.404  0.817  1.376  1.809  1.900  1.987  2.505  7.1150E-01  4.6412E-01  3.0300E-01
 0.8425839  3.7244  0.9907  3.2224  2.496 -0.042  0.659  0.406  0.820  1.382  1.818  1.910  1.997  2.518  6.8010E-01  4.4320E-01  2.8915E-01
 0.8429194  3.7235  1.0269  3.1828  2.407 -0.037  0.663  0.407  0.822  1.388  1.826  1.918  2.006  2.529  6.4350E-01  4.1897E-01  2.7316E-01
 0.8432274  3.7224  1.0630  3.1425  2.319 -0.030  0.667  0.409  0.826  1.395  1.835  1.928  2.016  2.541  5.9820E-01  3.8913E-01  2.5355E-01
 0.8435176  3.7214  1.0991  3.1025  2.231 -0.024  0.671  0.411  0.829  1.401  1.844  1.937  2.025  2.553  5.7610E-01  3.7445E-01  2.4385E-01
 0.8438035  3.7204  1.1352  3.0626  2.142 -0.019  0.675  0.413  0.832  1.407  1.852  1.946  2.034  2.564  5.5340E-01  3.5941E-01  2.3392E-01
 0.8440710  3.7193  1.1712  3.0223  2.055 -0.013  0.679  0.415  0.836  1.414  1.862  1.956  2.044  2.577  5.3020E-01  3.4409E-01  2.2383E-01
 0.8443337  3.7182  1.2069  2.9823  1.968 -0.007  0.683  0.417  0.840  1.421  1.871  1.966  2.053  2.589  4.9680E-01  3.2218E-01  2.0948E-01
 0.8445678  3.7170  1.2426  2.9420  1.882  0.000  0.688  0.420  0.845  1.429  1.882  1.977  2.064  2.602  4.5350E-01  2.9391E-01  1.9100E-01
 0.8447872  3.7158  1.2781  2.9018  1.796  0.006  0.692  0.423  0.850  1.436  1.892  1.988  2.074  2.615  4.2800E-01  2.7721E-01  1.8007E-01
 0.8449958  3.7146  1.3139  2.8613  1.710  0.013  0.696  0.426  0.856  1.444  1.903  1.999  2.085  2.629  4.0120E-01  2.5970E-01  1.6863E-01
 0.8451884  3.7135  1.3496  2.8213  1.624  0.018  0.700  0.429  0.861  1.451  1.913  2.010  2.094  2.641  3.7280E-01  2.4119E-01  1.5655E-01
 0.8453686  3.7123  1.3853  2.7809  1.539  0.025  0.704  0.432  0.867  1.458  1.923  2.021  2.105  2.654  3.4960E-01  2.2607E-01  1.4668E-01
